"Template","Vorlage"
"Valid","Gültig"
"always","immer"
"Template Content","Vorlageninhalt"
"Template Information","Vorlageninformation"
"Template Name","Vorlagennsame"
"Template Styles","Vorlagen Stile"
"Template Subject","Vorlagenbetreff"
"Template Type","Vorlagenstyp"
"Template","EasyTemplate"
"Valid From","Gültig von"
"Valid To","Gültig bis"
"Edit","Bearbeiten"
"Close","Schließen"
"Select date","Datum wählen"
"Output is not set to EasyTemplate. This content will not be available on frontend","Modus ist nicht EasyTemplate. Der gepflegte Inhalt wird nicht angezeigt werden."
"Add New Template","Neue Vorlage hinzufügen"
"EasyTemplate","EasyTemplate"
"Headline + Text","Überschrift + Text"
"Headline, teaser and some additional text","Überschrift, Einleitung and Fliesstext"
"Headline","Überschrift"
"The headline of the template","Die Überschrift des Bausteins"
"Subheadline","Einleitung"
"Subheadline under the heading","Einleitung unter der Überschrift"
"Text","Text"
"Google Maps","Google Maps"
"Displays a point on the landscape","Bindet den iFrame von Google Maps ein"
"Map Url","Url des iFrames"
"Simply paste the map url","Einfach den HTML-Code des iFrames eintragen"
"Width","Breite"
"Width of the map","Breite des iFrames"
"Height","Höhe"
"Width of the map","Höhe des iFrames"
"Show link","Link anzeigen"
"Show link to google","Anzeige des Links zu Google Maps unter dem iFrame"
"Youtube","Youtube"
"Displays a youtube video","Bindet ein Youtube-Video ein"
"Video-ID","Video-ID"
"Simply paste the Video-ID","Tragen Sie hier die ID des Videos ein"
"Width of the video","Beite des Videos"
"Height of the video","Höhe des Videos"
"Fullscreen","Vollbild"
"Allow fullscreen","Vollbildanzeige erlauben"
"Text 2column","Text 2spaltig"
"2 Columns text","2spaltiger Text"
"Text in the left column","Text der linken Spalte"
"Text in the right column","Text der rechten Spalte"
"Text + picture","Text + Bild"
"Image","Bild"
"The image is not going to be resized, please upload the image in the right size.","Das Bild wird nicht automatisch angepasst, bitte laden Sie es in der korrekten Größe hoch."
"Link","Link"
"Alignment","Ausrichtung"
"How to align the image","Ausrichtung des Bildes"
"Left","Links"
"Center","Mittig"
"Right","Rechts"
"Caption","Bildunterschrift"
"The caption of the image","Die Bildunterschrift"
"Spacer","Abstand"
"Inserts empty line(s)","Leerzeilen einfügen"
"Amount of lines","Anzahl der Zeilen"
"Textarea","Textfeld"
"Display Category Products","Kategorieanzeige"
"Display Products of a custom category","Zeigt Produkte der gewählten Kategorie an"
"Category","Kategorie"
"Column Count","Spaltenanzahl"
"Number of Products","Produktanzahl"
"How much products you like to display?","Wieviele Produkte sollen angezeigt werden?"
"Product Listing Sort by","Auflistung sortieren nach"
"Set Descending Direction","Absteigend"
"Set Ascending Direction","Aufsteigend"
"Three products","Drei Produkte"
"Three products in a row","Drei Produkte in einer Reihe"
"Product 1","Produkt 1"
"Product 2","Produkt 2"
"Product 3","Produkt 3"
"First product in row","Erstes Produkt der Reihe"
"Second product in row","Zweites Produkt der Reihe"
"Third product in row","Drittes Produkt der Reihe"
"Productlisting","Produktauflistung"
"Product Listing Sort Order","Sortierung"
"iFrame Code","iFrame Code"
"Simply paste the iFrame Html-Code","Einfach den HTML-Code des iFrames eintragen"
"Valid from","Gültig von"
"Valid to","Gültig bis"
"always","immer"
"max. 60 char.","max. 60 Zeichen"
"Use EasyTemplate","Nutze Easy-Template"
"Create Working Copy","Arbeitskopie anlegen"
"Publish Working Copy","Arbeitskopie veröffentlichen"
"Discard Working Copy","Arbeitskopie verwerfen"
"Preview Working Copy","Vorschau öffnen"
"Export to ZIP-File","Als ZIP-Datei exportieren"
"Import from ZIP-File","ZIP-Datei importieren"
"Import Templates","Bausteine importieren"
"Export Templates","Bausteine exportieren"
"Speed in MS","Geschwindigkeit in ms"
"Add new Slide-Item","Neue Folie hinzufügen"
"Remove Selection","Auswahl entfernen"
